#デバッグコマンド一覧
#'#'でコメント行、','が区切り
#コマンド名,コマンド,パラメータ説明
#SVコマンド
クエスト全クリア(メニューロック全解除),/clearquest ALL,
全フロアクリア,/flag battle ALL 1,
メインストーリー全クリア,/flag story_main ALL 1,
サブストーリー全クリア,/flag story_sub ALL 1,
デッキ追加2,/setstartdeck ALL 1,
デッキ追加3,/setstartdeck ALL 2,
探索ポイント追加,/addap 10,ap_add:AP
クエストポイント追加,/addbp 100,bp_add:BP
pvp用スタミナ全回復,/addpvpfull,
ゴールド追加,/addgold 1000000,gold_add:ゴールド
友情ポイント追加,/addfp 10000,fp_add:友情ポイント
課金コイン追加,/addcoin 10000,coind_add:課金コイン
経験値追加,/addexp 10000,exp_add:経験値
レベル設定,/setlv 200,set_lv:レベル
デイリーランキングスコアの更新,/ranking_daily 10000,score:スコア
ログインボーナス再取得,/loginbonus_again,次の日のログインボーナスを取得
ログインボーナス回数変更,/setloginbonus 0,ログインボーナス受け取り回数を変更して、再度受け取り
初心者ログインボーナスID変更,/setloginbonus_beginnerid 1,初心者ログインボーナスIDを変更して、初日から受け取り
チームバトル確認用敵鍵取得,/additem 3000 100,
メンテ告知状態,/mainte 10,maite_sec:メンテ告知状態秒数
メンテ告知状態解除,/maintereset,
PvPレース戦 レーティング変更,/setrating 2 0,
プレイログ使用履歴全削除,/deluseplayloghistory,

#CLコマンド(BattleAPI)
ユーザーのHP変更,!sethp 500,hp:HP
ユーザーのHP全快,!medic,
敵を倒す,!kill 0,index:番号(0～2)
勝利,!win,
敗北,!lose,
覚醒,!awake 1,1:on 0:off
無敵になる,!muteki 1,
シャッフル設定,!shuffle 0,1:on 0:off
NPCカードパス設定,!npc_pass 1,1:on 0:off

#CLコマンド
システム時間速度デフォルト,gamespeed 1.0,
システム時間速度5倍,gamespeed 5.0,
シーン変更,scene Title,name:シーン名
BGM変更,bgm 1000001,id:BGMID(-1で再生停止)
BGMマスター音量変更,bgm_vol 0.8,vol:音量(0.0～1.0)
SE再生,se 1,id:SEID
SEマスター音量変更,se_vol 0.8,vol:音量(0.0～1.0)
ボイス再生,voice 1,id:ボイスID
ボイスマスター音量変更,voice_vol 1.0,vol:音量(0.0～1.0)
スクリプター実行,scr script/test,path:ファイルパス
ストーリースクリプト実行,story_scr 10001 0,id:ID part:パート main:メインフラグ(未入力or0以外でメイン)
NPCイベント実行(ストーリーバトル),npc_event 0 1100010100 1100010100,event_type:0=STORYBATTLE,1=MINISTORY_BATTLE,2=MINISTORY_STAGEQUEST script_name:スクリプト名 id:NPCイベントID
