#ID,２Ｄ演出,３Ｄ演出,,,,,共通演出,機能1,
#,２D演出スクリプト,３D演出カットインスクリプト,３D演出プレイリスト,着弾エフェクト,着弾位置,チャージ演出プレイリスト,ムービー名,タイプ,ターゲット,自身除く,火,氷,風,光,闇,土,雷,水,無,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,チェイン倍率,ヘイト上限,
1,,,,,,,,NONE,SELECT,,,,,,,,,,,,,,,,,,,,,,,




30101111,enemy_skill_magic_noname,,enemy_skill0,ef_Btl_3D_Emt001IceBall_02,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,INT,0,ICE,MAGIC,,,10000,
30101112,enemy_skill_magic_0a,,enemy_skill_sp0,ef_Btl_3D_Emt001BlessDamage02,TARGET,enemy_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1500,0,1,INT,0,ICE,MAGIC,,,10000,
30101121,enemy_skill_attack_noname,,enemy_a_skill0,,,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,ICE,PHYSICS,,,10000,

30101211,enemy_skill_magic_noname,,enemy_skill0,ef_Btl_3D_Emt001IceBall_02,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,INT,0,ICE,MAGIC,,,10000,
30101212,enemy_skill_magic_0a,,enemy_skill_sp0,ef_Btl_3D_Emt001BlessDamage02,TARGET,enemy_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1500,0,1,INT,0,ICE,MAGIC,,,10000,
30101221,enemy_skill_buff,,enemy_b_skill_sp0,,,enemy_b_skill_sp_set,,ATK_UP_BY_SELF_PARAM,SELECT,,1,1,1,1,1,1,1,1,1,4,ATK,MND,1000,,,,,,,,10000,
30101231,enemy_skill_attack_noname,,enemy_a_skill0,,,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,ICE,PHYSICS,,,10000,
30101232,enemy_skill_attack_0a,,enemy_a_skill_sp0,,,enemy_a_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1800,0,1,ATK,0,ICE,PHYSICS,,,10000,

30101311,enemy_skill_magic_noname,,enemy_skill0,ef_Btl_3D_Emt001IceBall_02,TARGET,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,INT,0,ICE,MAGIC,,,10000,
30101312,enemy_skill_magic_0a,,enemy_skill_sp0,ef_Btl_3D_Emt001BlessDamage02,TARGET,enemy_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1500,0,1,INT,0,ICE,MAGIC,,,10000,
30101321,enemy_skill_buff,,enemy_b_skill_sp0,,,enemy_b_skill_sp_set,,ATK_UP_BY_SELF_PARAM,SELECT,,1,1,1,1,1,1,1,1,1,4,ATK,MND,1000,,,,,,,,10000,
30101331,enemy_skill_attack_noname,,enemy_a_skill0,,,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,ICE,PHYSICS,,,10000,
30101332,enemy_skill_attack_0a,,enemy_a_skill_sp0,,,enemy_a_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1800,0,1,ATK,0,ICE,PHYSICS,,,10000,

30101421,enemy_skill_buff,,enemy_b_skill_sp0,,,enemy_b_skill_sp_set,,ATK_UP_BY_SELF_PARAM,SELECT,,1,1,1,1,1,1,1,1,1,99,INT,MND,1000,,,,,,,,10000,


30201111,enemy_skill_attack_noname,,enemy_skill0,ef_Btl_3D_Ems002SpDamage01,ROOT,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,FIRE,PHYSICS,,,10000,
30201112,enemy_skill_attack_0a,,enemy_skill_sp1,,,enemy_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,INT,0,FIRE,MAGIC,,,10000,
30201121,enemy_skill_attack_noname,,enemy_a_skill0,ef_Btl_3D_Ems002SpDamage01,ROOT,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,FIRE,PHYSICS,,,10000,
30201122,enemy_skill_attack_0a,,enemy_a_skill_sp0,ef_Btl_3D_Ems002SpDamage01,ROOT,enemy_a_skill_sp_set,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1500,0,1,INT,0,FIRE,MAGIC,,,10000,

30201211,enemy_skill_attack_noname,,enemy_skill0,ef_Btl_3D_Ems002SpDamage01,ROOT,,,ATTACK_AA,SELECT,,1,1,1,1,1,1,1,1,1,0,0,1000,0,1,ATK,0,FIRE,PHYSICS,,,10000,
