#ボスID,キャラID,#,
#,,#,
#,,#,
,,#,
,,#,
10000101,,#,
10000102,,#,
10000103,,#,
,,#,
10000201,,#,
10000202,,#,
10000203,,#,
,,#,
10000301,,#,
10000302,,#,
10000303,,#,
,,#,
10000401,,#,
10000402,,#,
10000403,,#,
,,#,
10000501,,#,
10000502,,#,
10000503,,#,
,,#,
10000601,,#,
10000602,,#,
10000603,,#,
,,#,
10000701,,#,
10000702,,#,
10000703,,#,
,,#,
10000801,,#,
10000802,,#,
10000803,,#,
,,#,
10000901,,#,
,,#,
10001001,,#,
10001002,,#,
10001003,,#,
,,#,
10001101,,#,
10001102,,#,
10001103,,#,
,,#,
10001201,,#,
10001202,,#,
10001203,,#,
,,#,
10001301,,#,
10001302,,#,
10001303,,#,
,,#,
10001401,,#,
10001402,,#,
10001403,,#,
,,#,
10001501,,#,
10001502,,#,
10001503,,#,
,,#,
10001601,,#,
10001602,,#,
10001603,,#,
,,#,
10001701,,#,
10001702,,#,
10001703,,#,
,,#,
10001801,,#,
,,#,
10001901,,#,
10001902,,#,
10001903,,#,
10001904,,#,
10001905,,#,
10001906,,#,
10001907,,#,
10001908,,#,
10001909,,#,
10001910,,#,
10001911,,#,
10001912,,#,
10001913,,#,
10001914,,#,
10001915,,#,
10001916,,#,
10001917,,#,
10001918,,#,
,,#,
,,#,
20000001,20000001,#,
20000002,20000001,#,
20000003,20000001,#,
20000004,20000001,#,
,,#,
20003001,20000001,#,
20003002,20000001,#,
20003003,20000001,#,
,,#,
20000101,20000024,#,
20000102,20000024,#,
20000103,20000024,#,
,,#,
20000201,20000011,#,
20000202,20000011,#,
20000203,20000011,#,
,,#,
20000301,20000012,#,
20000302,20000012,#,
20000303,20000012,#,
,,#,
20000401,20000013,#,
20000402,20000013,#,
20000403,20000013,#,
,,#,
20000501,20000027,#,
20000502,20000027,#,
20000503,20000027,#,
,,#,
20000601,20000024,#,
20000602,20000024,#,
20000603,20000024,#,
,,#,
20000701,20000025,#,
20000702,20000025,#,
20000703,20000025,#,
,,#,
20000801,20000001,#,
20000802,20000001,#,
,,#,
20000901,20000004,#,
20001001,20000004,#,
20001101,20000004,#,
20001201,20000004,#,
20001301,20000004,#,
20001401,20000004,#,
20001501,20000004,#,
,,#,
20001701,10121054,#,
20001702,10121054,#,
20001703,10121054,#,
,,#,
20001801,10130029,#,
20001901,10130029,#,
20002001,10130029,#,
20002101,10130029,#,
20002201,10130029,#,
20002301,10130029,#,
20002401,10130029,#,
20002501,10130029,#,
20002601,10130030,#,
20002701,10130030,#,
20002801,10130029,#,
20002901,10130030,#,
,,#,
20003101,60400001,#,
20003102,60400001,#,
20003103,60400001,#,
,,#,
20003201,60400007,#,
20003202,60400007,#,
20003203,60400007,#,
,,#,
20003301,60400008,#,
,,#,
20003401,10141047,#,
20003402,10141047,#,
20003403,10141047,#,
,,#,
20003501,60400011,#,
,,#,
20003601,60400012,#,
20003602,60400012,#,
20003603,60400012,#,
,,#,
20003701,60400018,#,
,,#,
20003801,10150113,#,
20003802,10150113,#,
20003803,10150113,#,
,,#,
20003901,60400046,#,
,,#,
20004001,10161070,#,
20004002,10161070,#,
20004003,10161070,#,
