#ページ,ポジション,カードID,
1,1,10000026,
1,2,10000027,
1,3,10000010,
1,4,10000011,
1,5,10000012,
1,6,10000013,
1,7,10000022,
1,8,10000023,
1,9,10000024,
1,10,10000025,
2,1,10000179,
2,2,10000180,
2,3,10000181,
2,4,10002011,
2,5,10002012,
2,6,10000182,
2,7,10000183,
2,8,10000184,
2,9,10000084,
2,10,10000085,
3,1,10000018,
3,2,10000019,
3,3,10000020,
3,4,10000021,
3,5,10000093,
3,6,10000094,
3,7,10000095,
3,8,10000114,
3,9,10000115,
3,10,10000116,
4,1,10000133,
4,2,10000134,
4,3,10001008,
4,4,10001009,
4,5,10002005,
4,6,10002006,
4,7,10000151,
4,8,10000152,
4,9,10000304,
4,10,10000108,
5,1,10000046,
5,2,10000047,
5,3,10000048,
5,4,10000049,
5,5,10000117,
5,6,10000118,
5,7,10000119,
5,8,10000305,
5,9,10000131,
5,10,10000132,
6,1,10000038,
6,2,10000039,
6,3,10000040,
6,4,10000041,
6,5,10000105,
6,6,10000106,
6,7,10000107,
6,8,10001005,
6,9,10001006,
6,10,10001007,
7,1,10000081,
7,2,10000082,
7,3,10000083,
7,4,10000125,
7,5,10000126,
7,6,10000306,
7,7,10000054,
7,8,10000055,
7,9,10000129,
7,10,10000130,
8,1,10001014,
8,2,10001015,
8,3,10000052,
8,4,10000053,
8,5,10001031,
8,6,10001032,
8,7,10000123,
8,8,10000124,
8,9,10000169,
8,10,10000170,
9,1,10000187,
9,2,10000188,
9,3,10000189,
9,4,10000197,
9,5,10000198,
9,6,10000199,
9,7,10001001,
9,8,10001002,
9,9,10001003,
9,10,10001004,
10,1,10000042,
10,2,10000043,
10,3,10000044,
10,4,10000045,
10,5,10000030,
10,6,10000031,
10,7,10000032,
10,8,10000033,
10,9,10000061,
10,10,10000062,
11,1,10000058,
11,2,10000059,
11,3,10000096,
11,4,10000097,
11,5,10000098,
11,6,10000072,
11,7,10000073,
11,8,10000074,
11,9,10001025,
11,10,10001026,
12,1,10000056,
12,2,10000057,
12,3,10001035,
12,4,10001036,
12,5,10000173,
12,6,10000174,
12,7,10000175,
12,8,10000166,
12,9,10000167,
12,10,10000168,
13,1,10000102,
13,2,10000103,
13,3,10000104,
13,4,10000308,
13,5,10000034,
13,6,10000035,
13,7,10000036,
13,8,10000037,
13,9,10000185,
13,10,10000186,
