# ID,,PictID,ItemPictID,ID,ID,
1,Saber(),1,40001,10000,100,
2,,2,40002,11000,110,
3,,3,40003,12000,120,
4,,4,40004,13000,130,
6,,6,40006,15000,150,
7, ,7,40007,16000,160,
8,,8,40008,17000,170,
9, ,9,40009,18000,180,
10,,10,40010,19000,190,
11, ,11,40011,20000,200,
12,,12,40012,21000,110,
13,,13,40013,22000,220,
14,,14,40014,23000,230,
15,,15,40015,24000,240,
900,,900,49999,90000,900,
901,,902,49998,90100,901,
902,,901,49997,90200,902,
16,,16,40016,25000,250,
17,,17,40017,26000,260,
#18,,18,40018,27000,250,
#19,,19,40019,28000,200,
21,,21,40021,30000,300,
#30,,22,40022,31000,310,
#23,,23,40023,32000,320,
29,,29,40029,38000,250,
22,,30,40030,39000,390,
