#bid,水晶数量,金币数量,道具1,道具数量1,道具2,道具数量2,道具3,道具数量3,道具4,道具数量4,道具5,道具数量5,道具6,道具数量6,道具7,道具数量7,道具8,道具数量8,道具9,道具数量9,道具10,道具数量10,卡牌1,卡牌数量1,卡牌2,卡牌数量2,卡牌3,卡牌数量3,卡牌4,卡牌数量4,卡牌5,卡牌数量5,卡牌6,卡牌数量6,卡牌7,卡牌数量7,卡牌8,卡牌数量8,卡牌9,卡牌数量9,卡牌10,卡牌数量10,看板娘ID,
#,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,
#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000028,1,20000029,1,20000003,1,20000004,1,10115037,1,0,0,0,0,0,0,0,0,0,0,4,















