# ID,名前,PictID,ItemPictID,モデルID,ボイスID,
1,Saber(剑士),1,40001,10000,100,
2,初音未来,2,40002,11000,110,
3,艾丝·华伦斯坦,3,40003,12000,120,
4,蜜拉·麦斯威尔,4,40004,13000,130,
6,司波深雪,6,40006,15000,150,
7,亚瑟 剑术之城,7,40007,16000,160,
8,鹿目圆,8,40008,17000,170,
9,亚瑟 技巧之场,9,40009,18000,180,
10,尼禄,10,40010,19000,190,
11,亚瑟 魔法之派,11,40011,20000,200,
12,雪未来,12,40012,21000,110,
13,艾菲,13,40013,22000,220,
14,明日香,14,40014,23000,230,
15,弱酸性乌莎哈,15,40015,24000,240,
900,初号机,900,49999,90000,900,
901,零号机,902,49998,90100,901,
902,二号机,901,49997,90200,902,
16,妮妙,16,40016,25000,250,
17,橄榄石,17,40017,26000,260,
#18,黄金妮妙,18,40018,27000,250,
#19,亚瑟魔法之派〔红莲〕,19,40019,28000,200,
21,雷姆,21,40021,30000,300,
#30,斋藤一,22,40022,31000,310,
#23,大和亚历山大,23,40023,32000,320,
29,炎夏型妮妙,29,40029,38000,250,
22,惠惠,30,40030,39000,390,
