#名前,ターゲット,対象スキル,スキルパラメータ型,スキルパラメータ1,スキルパラメータ2,除外スキルパラメータ型,除外スキルパラメータ,
全部,,,,,,,,
物理伤害,,DAMAGE_BOOST,SKILL_PHYSICS_TYPE,PHYSICS,,SKILL_PHYSICS_TYPE,MAGIC,
魔法伤害,,DAMAGE_BOOST,SKILL_PHYSICS_TYPE,MAGIC,,SKILL_PHYSICS_TYPE,PHYSICS,
全伤害,,DAMAGE_BOOST,SKILL_PHYSICS_TYPE,ALL,,,,
物理伤害提升效果,,ATK_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,ATK,,SKILL_ROLE_BATTLE_PARAM,INT,
魔法伤害提升效果,,ATK_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,INT,,SKILL_ROLE_BATTLE_PARAM,ATK,
全伤害提升效果,,ATK_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,ATK,INT,,,
物理防御提升效果,,DEF_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,DEF,,SKILL_ROLE_BATTLE_PARAM,MDEF,
魔法防御提升效果,,DEF_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,MDEF,,SKILL_ROLE_BATTLE_PARAM,DEF,
全防御提升效果,,DEF_UP_BOOST,SKILL_ROLE_BATTLE_PARAM,DEF,MDEF,,,
物理伤害下降效果,,ATK_BREAK_BOOST,SKILL_ROLE_BATTLE_PARAM,ATK,,SKILL_ROLE_BATTLE_PARAM,INT,
魔法伤害下降效果,,ATK_BREAK_BOOST,SKILL_ROLE_BATTLE_PARAM,INT,,SKILL_ROLE_BATTLE_PARAM,ATK,
全伤害下降效果,,ATK_BREAK_BOOST,SKILL_ROLE_BATTLE_PARAM,ATK,INT,,,
回复效果,,HEAL_BOOST,,,,,,
物理爆击率,,CRITICAL_BOOST,SKILL_PHYSICS_TYPE,PHYSICS,,SKILL_PHYSICS_TYPE,MAGIC,
魔法爆击率,,CRITICAL_BOOST,SKILL_PHYSICS_TYPE,MAGIC,,SKILL_PHYSICS_TYPE,PHYSICS,
全爆击率,,CRITICAL_BOOST,SKILL_PHYSICS_TYPE,ALL,,,,
物理状态上升,,ATK_UP_FIXED_SUPPORT,SKILL_ROLE_BATTLE_PARAM,ATK,,SKILL_ROLE_BATTLE_PARAM,INT,
魔法状态上升,,ATK_UP_FIXED_SUPPORT,SKILL_ROLE_BATTLE_PARAM,INT,,SKILL_ROLE_BATTLE_PARAM,ATK,
全攻击状态上升,,ATK_UP_FIXED_SUPPORT,SKILL_ROLE_BATTLE_PARAM,ATK,INT,,,
