#id 唯一标示 按顺序填即可,物品itemid,获得的路径标题,获得的路径详细描述,路径的url配置,
1,5000,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
2,5001,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
3,5002,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
4,5003,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
5,5010,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
6,5011,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
7,5012,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
8,5013,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
9,5020,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
10,5021,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
11,5022,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
12,5023,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
13,5030,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
14,5031,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
15,5032,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
16,5033,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
17,5040,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
18,5041,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
19,5042,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
20,5043,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
21,5050,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
22,5051,活动副本,活动副本中常驻妖精，超级妖精，外敌均有掉落,eventboss,
