#デバッグコマンド一覧
#'#'でコメント行、','が区切り
#コマンド名,コマンド,パラメータ説明
#SVコマンド
AP追加,/addap <ap_add>,ap_add:AP
BP追加,/addbp <bp_add>,bp_add:BP
pvp用スタミナ全回復,/addpvpfull,
ゴールド追加,/addgold <gold_add>,gold_add:ゴールド
友情ポイント追加,/addfp <fp_add>,fp_add:友情ポイント
課金コイン追加,/addcoin <coin_add> [<market>] [<is_free>],coind_add:課金コイン market:マーケット(apple/google/sqex)。省略で無償無保証コインを追加する is_free:無償分か(1=無償 0=有償)。省略すると有償分。
経験値追加,/addexp <exp_add>,exp_add:経験値
レベル設定,/setlv <set_lv>,set_lv:レベル
カード追加,/addcard <cardid> [<num>] [<lv>] [<skill_lv>] [<fame>] [<love>],cardid:カードID num:数 lv:レベル skill_lv:スキルレベル fame:名声 love:忠誠度
カード削除,/delcard <cardid>,cardid:カードID
スフィア追加,/addsphr <sphrid>,sphrid:スフィアID
アイテム追加,/additem <itemid> [<num>],itemid:アイテムID num:数
コスチューム追加,/addcostume <costumeid>,costumeid:コステュームID
アバターパーツ追加,/addavatarparts <avatar_partsid>,avatar_partsid:アバターパーツID
シリーズのアバターパーツ追加,/addseries <seriesid>,seriesid:シリーズID
スタンプ追加,/addstamp <stampid>,stampid:スタンプID
イベントアイテム交換数クリア,/eventshopbuyclear <event_shop_lineupid>,event_shop_lineupid:イベントショップラインアップID
キャッシュ削除,/cachedel <type>,type:キャッシュタイプ
デイリーランキングスコアの更新,/ranking_daily <score>,score:スコア
禁止語句確認テスト,/word_censor <word>,word=確認する文字列
プレミアムグレード設定,/premium_service <grade>,grade=0:無課金者 grade=1~4:課金者
ログインボーナス再取得,/loginbonus_again,次の日のログインボーナスを取得
ログインボーナス回数変更,/setloginbonus <num>,num:受け取り日数
初心者ログインボーナスID変更,/setloginbonus_beginnerid <beginnerid>,初心者ログインボーナスID(login_bonus_beginner.xls)
クエストクリア,/clearquest <questid>,questid:クリアするクエストID(又はALL)
クエスト全クリア(メニューロック全解除),/clearquest ALL,
セッションキー期限切れ,/cachedel session,
メンテ告知状態,/mainte <mainte_sec>,maite_sec:メンテ告知状態秒数
メンテ告知状態解除,/maintereset,
プレイログ使用履歴削除,/deluseplayloghistory userid,userid=(0or省略で全て)
チームバトルエネミー強制出現,/teambattlebosspop <groupid>,groupid:グループID(空ならリセット)
ステージクエスト強制出現,/stagequestpop <scheduleid>,scheduleid:スケジュールID

#CLコマンド(BattleAPI)
ユーザーのHP変更,!sethp <hp>,hp:HP
ユーザーのHP全快,!medic,
敵を倒す,!kill <index>,index:番号(0～2)
勝利,!win,
敗北,!lose,
無敵になる,!muteki 1,

#CLコマンド
システム時間速度変更,gamespeed <speed>,speed:0.0～
シーン変更,scene <name>,name:シーン名
BGM変更,bgm <id>,id:BGMID(-1で再生停止)
BGMマスター音量変更,bgm_vol <vol>,vol:音量(0.0～1.0)
SE再生,se <id>,id:SEID
SEマスター音量変更,se_vol <vol>,vol:音量(0.0～1.0)
ボイス再生,voice <id>,id:ボイスID
ボイスマスター音量変更,voice_vol <vol>,vol:音量(0.0～1.0)
CPK関連初期化(CPK関連ファイル全削除等),cpk_init,
CPKファイルバインド,cpk_bind <set_name_idx> <name> <storage_type>,set_name_idx:CPKバインダーセット名番号(0:Sound) name:cpkファイル名 storage_type:ストレージタイプ(0:StreamingAssets 1:Install)
CPKファイルアンバインド,cpk_unbind <name>,name:cpkファイル名
CPKファイル全アンバインド,cpk_unbind_all,
CPKファイルダウンロード,cpk_download <name>,name:cpkファイル名
CPKファイル全ダウンロード,cpk_download_all,
CPKファイル存在チェック,cpk_exist <name>,name:cpkファイル名
